LINENAME,LINENUMBER,CDP,CDP_TRACE,CDP_X,CDP_Y,CDP_LON,CDP_LAT
OA16ESP00064A053,64,5303082,1401,622203.24,6585226.88,-0.8503755306078189,59.3859746091446
OA16ESP00064A053,64,5303182,1501,623452.64,6585244.8,-0.8283877621786293,59.385771380172415
OA16ESP00064A053,64,5303282,1601,624702.76,6585258.88,-0.8063899043145281,59.38552977566099
OA16ESP00064A053,64,5303382,1701,625952.36,6585272.32,-0.7844019672279238,59.38527887602352
OA16ESP00064A053,64,5303482,1801,627201.68,6585290.88,-0.7624163388405536,59.38507029952174
OA16ESP00064A053,64,5303582,1901,628451.76,6585304.96,-0.7404203768207215,59.38481758834192
OA16ESP00064A053,64,5303682,2001,629701.08,6585324.8,-0.7184347244979757,59.38461308818449
OA16ESP00064A053,64,5303782,2101,630950.88,6585338.24,-0.696444881222747,59.38434730917936
OA16ESP00064A053,64,5303882,2201,632200.24,6585354.88,-0.6744612442236447,59.38410667586906
OA16ESP00064A053,64,5303982,2301,633450.12,6585373.44,-0.6524676734302934,59.38387940225081
OA16ESP00064A053,64,5304082,2401,634699.64,6585392.0,-0.6304808205054531,59.38364853723903
OA16ESP00064A053,64,5304182,2501,635949.36,6585409.28,-0.608491651352732,59.38340241911767
OA16ESP00064A053,64,5304282,2601,637199.24,6585425.28,-0.5865008975651155,59.38314105981456
OA16ESP00064A053,64,5304382,2701,638448.48,6585444.48,-0.5645197719300619,59.38290491563862
OA16ESP00064A053,64,5304482,2801,639698.0,6585464.96,-0.5425332923008958,59.382676460307806
OA16ESP00064A053,64,5304582,2901,640947.36,6585484.8,-0.5205504378194339,59.38243861244185
OA16ESP00064A053,64,5304682,3001,642197.3200000001,6585500.8,-0.4985599764866195,59.382162408745394
OA16ESP00064A053,64,5304782,3101,643447.0,6585521.28,-0.476571906742289,59.381922786802434
OA16ESP00064A053,64,5304882,3201,644696.48,6585537.92,-0.4545903460568181,59.38164507940284
OA16ESP00064A053,64,5304982,3301,645946.08,6585555.2,-0.4326067003838737,59.38136936972573
OA16ESP00064A053,64,5305082,3401,647195.76,6585573.76,-0.410621229726177,59.381101411898726
OA16ESP00064A053,64,5305182,3501,648445.76,6585593.6000000015,-0.388629697842425,59.38084112026437
OA16ESP00064A053,64,5305282,3601,649694.92,6585610.88,-0.3666551554482093,59.38055445639085
OA16ESP00064A053,64,5305382,3701,650944.64,6585626.24,-0.3446725887999836,59.38024666894571
OA16ESP00064A053,64,5305482,3801,652194.56,6585638.4,-0.3226892723151837,59.37990640206288
OA16ESP00064A053,64,5305582,3901,653444.24,6585653.76,-0.3007084378603857,59.37959122442768
OA16ESP00064A053,64,5305682,4001,654694.0,6585668.48,-0.2787271707906754,59.3792665748478
OA16ESP00064A053,64,5305782,4101,655944.12,6585683.2,-0.2567401018692117,59.37893809019326
OA16ESP00064A053,64,5305882,4201,657193.64,6585701.12,-0.2347617747096037,59.37863482808679
OA16ESP00064A053,64,5305982,4301,658443.3200000001,6585713.28,-0.2127853775820752,59.378276140689685
OA16ESP00064A053,64,5306082,4401,659693.3200000001,6585726.72,-0.1908029785968365,59.37792511270854
OA16ESP00064A053,64,5306182,4501,660943.12,6585740.16,-0.1688246592452035,59.37757045888418
OA16ESP00064A053,64,5306282,4601,662193.2000000001,6585752.32,-0.1468429529234731,59.37720051631769
OA16ESP00064A053,64,5306382,4701,663443.12,6585763.84,-0.1248651352679023,59.376821193934354
OA16ESP00064A053,64,5306482,4801,664692.92,6585774.72,-0.1028905197219073,59.37643247806472
OA16ESP00064A053,64,5306582,4901,665942.56,6585789.44,-0.0809163708466022,59.37607456453648
OA16ESP00064A053,64,5306682,5001,667192.3200000001,6585802.88,-0.058941684603786,59.37570142457328
OA16ESP00064A053,64,5306782,5101,668442.68,6585822.72,-0.0369520417626418,59.37538174093587
OA16ESP00064A053,64,5306882,5201,669694.12,6585870.72,-0.0149217426375486,59.37531045296448
OA16ESP00064A053,64,5306982,5301,670945.24,6585957.12,0.0071332290460149,59.37557993276188
OA16ESP00064A053,64,5307082,5401,672195.6,6586019.2,0.0291556152294671,59.3756278993492
OA16ESP00064A053,64,5307148,5467,673019.84,6585987.84,0.0436146695603122,59.375009291820746
,-999,-999,-999,,,,
OA16ESP00023A025,23,2501974,1,600307.64,6591672.32,-1.2325993655286192,59.44959842029799
OA16ESP00023A025,23,2502074,101,601313.2000000001,6592403.2,-1.2145279326753156,59.455917463788936
